ticker,sector,entry_date,exit_date,entry_px,exit_px,shares,pnl_eur,pnl_pct,hold_days,exit_reason,regime_at_entry
SCHW,Fin,2021-08-23,2021-09-14,67.90597400665283,65.57905403985318,51,-135.89716685170288,-0.04585389306745281,22,TRAILING_STOP,BULL_STRONG
GS,Fin,2021-08-23,2021-09-17,356.48411361502974,349.4398345054749,9,-76.6086781332101,-0.02790161219180272,25,TRAILING_STOP,BULL_STRONG
URI,Industrial,2021-08-24,2021-09-20,327.5499087123573,313.0968752735121,10,-126.20780357298145,-0.045204996421354636,27,TRAILING_STOP,BULL_STRONG
CDNS,Tech,2021-09-23,2021-09-27,163.48409877777098,158.04822672042604,12,-65.28973360731743,-0.03884817292844056,4,TRAILING_STOP,NEUTRAL
INTU,Tech,2021-09-23,2021-09-28,546.5633388883787,524.9638097307306,3,-60.598103084251534,-0.04313564635208451,5,TRAILING_STOP,NEUTRAL
GOOGL,Comm,2021-09-24,2021-09-28,140.2899566114616,134.4508767118467,11,-53.985034558550296,-0.041013333516155596,4,TRAILING_STOP,NEUTRAL
MS,Fin,2021-10-25,2021-11-18,87.35051791331794,83.38246857683183,31,-48.89435402363597,-0.020994328456927263,24,TRAILING_STOP,BULL_STRONG
FITB,Fin,2021-10-29,2021-11-19,36.82913390701823,35.83644345508872,94,-6.849667542055613,-0.002309277833029557,21,TRAILING_STOP,BULL_STRONG
TRGP,Energy,2021-11-24,2021-11-26,50.210545650615686,47.12821740643267,56,-152.1218863045474,-0.06076946919399341,2,TRAILING_STOP,BULL_STRONG
KIM,RealEstate,2021-08-24,2021-11-30,17.33400350916403,18.132610088684363,204,257.2507145671234,0.08535225860767941,98,TRAILING_STOP,BULL_STRONG
NFLX,Comm,2021-11-29,2021-11-30,66.71385520245552,64.12376927828218,50,-121.56412550915275,-0.041113083625022986,1,TRAILING_STOP,BULL_STRONG
KLAC,Tech,2021-11-30,2021-12-06,39.65420314484596,37.6351237712815,31,-60.07958822916271,-0.05510914793203963,6,TRAILING_STOP,NEUTRAL
INTU,Tech,2021-12-08,2021-12-14,651.450527434616,606.730527537653,3,-124.9327029436779,-0.07199464251219974,6,TRAILING_STOP,BULL_STRONG
PANW,Tech,2021-10-06,2022-01-05,79.44344471952436,84.82523634475696,23,148.67389090034544,0.094231726685725,91,TRAILING_STOP,NEUTRAL
ANET,Tech,2021-12-08,2022-01-06,31.64858823514938,32.90955856704712,77,73.1236660676459,0.03379742249546951,29,GAP_STOP,BULL_STRONG
LOW,ConsDisc,2021-12-27,2022-01-10,229.07078936801258,220.7905183943896,14,-116.11830057393809,-0.04095923352450651,14,TRAILING_STOP,BULL_STRONG
PFE,Health,2022-01-12,2022-01-18,43.99150216677188,41.35386927602425,24,-62.389918574963076,-0.06705387328275164,6,TRAILING_STOP,NEUTRAL
AAPL,Tech,2022-01-12,2022-01-19,172.24810316149413,163.10456433118438,6,-48.775042076321824,-0.053551615276389616,7,TRAILING_STOP,NEUTRAL
