entry_mode,stop_buffer,trail,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
reversal,0.0,2.0,1931,217,0.3271889400921659,97.17429392604636,-61.52439523838374,1.5794433013040234,-9.59993933665776,0.7680854410451073,-0.01175158342835314,-0.08465183592211467,-0.8888574750286202,-0.9065254824196457,0.5531208499335989,2.7714037782054137,10,,390.04,668.07,667.61,704.85
reversal,0.0,2.5,1931,189,0.2751322751322751,208.06266085799314,-71.14225106454583,2.9246004694063217,5.6760315808088,1.1100673314534946,0.006115254303360906,-0.09218581052552832,-0.28597272999027434,-0.32994394967093976,0.5624169986719787,2.560659185531059,9,,339.33,616.4,617.46,823.96
reversal,0.0,3.0,1931,156,0.30128205128205127,257.0265072715194,-76.59131869197914,3.355817756646563,23.92174425856207,1.447003986810903,0.02003639087445097,-0.08448578456747435,0.020137248870445563,0.022970701185422326,0.5763612217795485,2.1361236495235323,15,,280.44,515.24,517.55,599.3
reversal,0.0,3.5,1931,141,0.3191489361702128,255.07461411641702,-79.00537570702211,3.2285728892970207,27.615897640884008,1.5133935418579785,0.020862406486287677,-0.07089161836882985,0.037749890943967766,0.04384071201380435,0.5849933598937583,1.9098605663552797,9,,253.53,460.68,463.03,623.16
reversal,0.25,2.0,1831,188,0.35106382978723405,99.9704172409205,-60.04694196739442,1.6648710819479298,-3.8706350112838535,0.9006679623652736,-0.003908657000175064,-0.07645385203071309,-0.7276540915484953,-0.750223569832578,0.5351925630810093,2.2921048276554132,9,,337.9,552.36,552.49,387.83
reversal,0.25,2.5,1831,168,0.2857142857142857,175.28755852198753,-66.63280567354516,2.630649523911327,2.4872983823213297,1.0522598095645308,0.002514340810450655,-0.08448551501964252,-0.4354843031521433,-0.46963534745166796,0.5524568393094289,2.0939019154549166,16,,301.65,503.93,504.59,510.64
reversal,0.25,3.0,1831,141,0.3049645390070922,213.75243157250787,-74.55720325185898,2.866958821543219,13.367011623657156,1.2579513196567187,0.010438322082929163,-0.07700289659997517,-0.22625899534512417,-0.23992346544125012,0.5763612217795485,1.7491031480801504,16,,253.31,421.09,422.41,462.93
reversal,0.25,3.5,1831,130,0.3,223.7398716041173,-75.61634968781104,2.9588822063991143,14.19051669976746,1.268092374171049,0.01022643817869029,-0.07061161849435682,-0.2250130841770483,-0.24573854180451576,0.5816733067729084,1.5783293269541643,11,,233.69,380.03,381.29,498.26
reversal,0.5,2.0,1709,177,0.3502824858757062,88.61668806442185,-56.65148505506314,1.5642429845976626,-5.76658825614749,0.8433310003917834,-0.005613314667734293,-0.07063350648909994,-0.8676770356798863,-0.8799505922161057,0.5159362549800797,2.021329280107484,11,,318.77,487.69,487.62,290.43
reversal,0.5,2.5,1709,154,0.3051948051948052,199.1939751416306,-68.23146119331132,2.9193860377294314,13.385392753067048,1.282347138068068,0.011341227332939852,-0.07048976050469025,-0.202949506663668,-0.23366519516135828,0.5332005312084993,1.8864771140039693,17,,276.86,454.89,456.33,439.29
reversal,0.5,3.0,1709,127,0.3228346456692913,252.66302510447406,-74.29805000933924,3.4006683226910317,31.25631282267923,1.621248851515492,0.021174792083755722,-0.0619951915863437,0.04415996664878798,0.05150685260525531,0.5690571049136787,1.5671656572066284,14,,228.27,377.72,380.04,451.29
reversal,0.5,3.5,1709,116,0.31896551724137934,271.171420254067,-74.17671963869785,3.655748347660786,35.97742843054613,1.712185934980368,0.022196571854664837,-0.05608025002852468,0.06849117061486563,0.08059952654668023,0.5796812749003984,1.3996745359406098,12,,208.58,337.25,339.64,305.45
reclaim,0.0,2.0,834,148,0.3310810810810811,100.16983240875227,-61.69320080555819,1.623677019522183,-8.103412781901348,0.8036381207736057,-0.00680184572802367,-0.0668816864541828,-0.9519702980496842,-0.8943586524465654,0.48871181938911024,1.8991783651301437,14,,265.95,457.64,457.44,478.91
reclaim,0.0,2.5,834,137,0.29927007299270075,187.97202825674736,-68.92155575624577,2.7273329250074725,7.959005882679185,1.1647984367219413,0.005993321634891524,-0.06803680063692064,-0.38295165676513476,-0.39377537446862754,0.5152722443559097,1.8159800693288373,11,,246.61,438.79,439.72,608.24
reclaim,0.0,3.0,834,121,0.3305785123966942,255.1264370638052,-81.11447536320065,3.145263973186577,30.03954527382609,1.5532167768822605,0.019324983393014694,-0.06493667060430686,0.0009356411342509982,0.0010281544555193927,0.545816733067729,1.6361155901436164,6,,217.71,395.64,397.8,533.1
reclaim,0.0,3.5,834,108,0.3333333333333333,303.7771027202487,-81.22581520818635,3.739908327686843,47.10849076795868,1.8699541638434216,0.02655934075520805,-0.058687191631097146,0.16248452988942858,0.18242109869236767,0.5597609561752988,1.454779386187806,13,,194.08,351.18,354.03,256.46
reclaim,0.25,2.0,801,133,0.3684210526315789,99.64758026187363,-59.55854389667332,1.6731030301000946,-0.9036560487876035,0.9759767675583886,-0.000651399339412162,-0.06264217504937608,-0.7855159884939642,-0.7493763204952886,0.48339973439575035,1.6226694850541619,13,,238.88,390.76,391.04,312.02
reclaim,0.25,2.5,801,122,0.3360655737704918,178.91636248370526,-66.53177620533286,2.6891866216156153,15.954893354097978,1.361193228225188,0.01059498500049072,-0.06873732754668094,-0.27489696244552264,-0.2836026258705447,0.5192563081009296,1.5185602612439184,11,,219.52,366.73,368.03,429.95
reclaim,0.25,3.0,801,111,0.35135135135135137,240.87904278291595,-76.83045515719849,3.135202600193723,34.79720628122011,1.6982347417716002,0.02049148456321781,-0.06511357062765655,0.026938393816567294,0.029669880421307856,0.5604249667994687,1.4055593750834963,9,,199.92,339.95,342.18,438.42
reclaim,0.25,3.5,801,100,0.37,270.5246733619971,-76.08331264086998,3.555637418666735,52.161642180190796,2.088231499851892,0.027207153278508756,-0.06041430455161889,0.18557084669594648,0.20948602224984364,0.5723771580345286,1.241235853737882,13,,179.87,299.78,302.66,242.37
reclaim,0.5,2.0,760,124,0.3629032258064516,96.18727352304263,-57.68948875770856,1.6673275425792353,-1.8471153493714332,0.9497435369122226,-0.001263243405176473,-0.056920604959155074,-0.886857088197778,-0.8413417980299596,0.47742363877822047,1.4386186783483312,12,,222.68,346.27,346.47,245.62
reclaim,0.5,2.5,760,111,0.35135135135135137,169.57960143605294,-67.27793555049675,2.5205827148006303,15.942280147480174,1.3653156371836748,0.009653627542645982,-0.06416216738245928,-0.33492028238668925,-0.33772019238690887,0.5152722443559097,1.3251024546676995,11,,199.5,319.68,320.85,375.34
reclaim,0.5,3.0,760,101,0.37623762376237624,235.44487667932017,-81.79331565317197,2.878534447456276,37.563627996676566,1.7362588730688648,0.020145484418370607,-0.06020033260490121,0.017041742440504593,0.018598939602030535,0.5551128818061088,1.2364212970982909,8,,181.68,298.71,300.87,514.15
reclaim,0.5,3.5,760,91,0.37362637362637363,281.7597807730107,-77.41578786338715,3.6395648555592044,56.78167734142084,2.1709685103335605,0.02696662139734185,-0.05686088739494721,0.1894297448633502,0.2111492090913846,0.5730411686586986,1.0822032690452643,11,,163.42,260.99,263.8,213.79
