entry_mode,stop_buffer,trail,rs_min,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
reclaim,0.0,2.5,70,1481,192,0.2916666666666667,217.03352053611167,-68.0211481424348,3.190677112383464,15.119796888807917,1.313808222746132,0.015628928731221237,-0.05673780256746397,-0.08912722970549139,-0.10037954138874228,0.5889774236387783,2.5712356609467695,11,,344.25,618.31,620.3,1129.77
reclaim,0.0,2.5,75,1481,166,0.3072289156626506,240.7895932465083,-67.93551508218046,3.54438459699951,26.91376518747693,1.5718575169302174,0.02355530247233073,-0.060050121860517836,0.10027641070441817,0.11141039038795623,0.5730411686586986,2.2524773121993467,10,,298.06,542.43,545.14,964.62
reclaim,0.0,2.5,80,1481,155,0.2903225806451613,237.81023278930587,-69.18497303232539,3.437310478941626,19.942667367503045,1.4061724686579382,0.016547685991738836,-0.05784844208504136,-0.07205671632372947,-0.07713258948314218,0.5557768924302788,2.0165009396986813,8,,278.87,487.21,489.18,990.07
reclaim,0.0,2.5,85,1481,131,0.2900763358778626,249.39804885242282,-70.23947938112845,3.5506819106553587,22.479803617916964,1.450816264568856,0.015791853593282612,-0.049797527823993604,-0.09341549531566497,-0.09272476588885797,0.5345285524568393,1.756436966608858,11,,235.8,424.73,426.57,780.0
reclaim,0.0,2.5,90,1481,88,0.29545454545454547,246.1928280464993,-74.49282334306245,3.3049200848879803,20.255210022035346,1.3859342291465724,0.009704634944327939,-0.0421483699550359,-0.3115162433888472,-0.28312993815938126,0.448871181938911,1.217504659579633,10,,159.1,296.2,297.34,466.71
reclaim,0.0,3.0,70,1481,160,0.325,218.52490828467697,-71.12740556094495,3.072302533197779,23.009596438882163,1.479256775243375,0.01961167817738585,-0.05813458037703456,0.009987411578839013,0.012303030911429662,0.600929614873838,2.1606452587811447,12,,286.78,518.91,521.2,805.22
reclaim,0.0,3.0,75,1481,142,0.34507042253521125,248.95811153717773,-77.8221015787887,3.1990669294008645,34.940084637284215,1.685529887533789,0.025993568680732215,-0.06176627497321452,0.1487884262703678,0.17156291767971707,0.5896414342629482,1.9798807998375072,8,,255.09,476.75,479.64,744.07
reclaim,0.0,3.0,80,1481,140,0.3357142857142857,242.6943540051205,-77.99621904706468,3.11161690874622,29.664187620454594,1.5725375775384125,0.021936055479877314,-0.06317102998389745,0.06111298525960123,0.06759829135241356,0.5856573705179283,1.8525882139085275,8,,251.99,447.53,450.0,776.16
reclaim,0.0,3.0,85,1481,117,0.3162393162393162,303.1539251534619,-78.24545373954103,3.874396666707094,42.368025055682104,1.7919084583520306,0.025927616737822845,-0.06029971594761918,0.14917483774757523,0.1630238858268952,0.5883134130146083,1.601608463467527,8,,210.72,387.63,390.44,740.02
reclaim,0.0,3.0,90,1481,81,0.32098765432098764,333.85491004545395,-85.7899769530241,3.8915374721252394,48.910850972413314,1.8396358959137495,0.020972314788628044,-0.04994405592960616,0.03917600082439488,0.040350723201020205,0.49800796812749004,1.1280311986117275,9,,146.38,274.62,276.84,466.05
