strategy,costs,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
ema_pullback,optimistic,7804,276,0.3333333333333333,175.79352227286446,-75.14099014256787,2.339515648374139,8.503847329242898,1.1697578241870694,0.012702191228398885,-0.07711895467914553,-0.13037168932202667,-0.15387408093712743,0.647410358565737,3.6187759547511016,18,,0.0,232.35,290.77,1978.04
ema_pullback,realistic,7804,277,0.3212996389891697,168.86682098129558,-76.1817109856055,2.2166320340744625,2.5522938701858076,1.0493630374075915,0.003976355390637343,-0.0867081511276192,-0.30858247318761206,-0.3618608780089733,0.647410358565737,3.4770680066189996,18,,496.05,836.75,837.85,1774.37
ema_pullback,stress,7804,276,0.29347826086956524,153.76903406080007,-78.09231843455314,1.9690673441802007,-10.04605194135166,0.8179202814286988,-0.015954936528201902,-0.13357090962971419,-0.7303690663902659,-0.8302246094372544,0.647410358565737,3.1407741681405845,20,,988.38,2014.22,1510.64,1900.12
minervini_vcp,optimistic,2612,194,0.39690721649484534,125.62853613359403,-56.92533934190662,2.206900083265912,15.531611233420954,1.452404328303207,0.01615162756453392,-0.05089288308297735,-0.0955362319174105,-0.10946189169326447,0.5836653386454184,2.362437526694075,14,,0.0,151.54,189.83,558.39
minervini_vcp,realistic,2612,196,0.3520408163265306,128.86625401050608,-59.45642077323264,2.167406855888672,6.84084739043049,1.1775675043804599,0.007384734294866968,-0.07946618263160077,-0.3287498758054358,-0.35756686156617995,0.5816733067729084,2.3340268996162665,16,,350.95,561.5,562.68,823.82
minervini_vcp,stress,2612,193,0.3005181347150259,121.75403369248394,-64.91994875826157,1.8754487029226097,-8.821031752338063,0.8057483316260101,-0.009637966657903285,-0.13203953743183994,-0.8337490280948365,-0.8956481434568979,0.5683930942895087,2.1553450025222367,16,,691.31,1380.97,1035.95,1067.05
volume_breakout,optimistic,3168,184,0.43478260869565216,101.94777345160261,-49.219702341109915,2.071279764047912,16.505287133982492,1.5932921261907018,0.016275617436910972,-0.03815335745008197,-0.1399206724503678,-0.1723230742574535,0.6374501992031872,1.715395956303126,10,,0.0,110.13,138.06,419.89
volume_breakout,realistic,3168,186,0.3870967741935484,89.4353438955671,-50.59418302952266,1.7677001295461159,3.610795135028213,1.1164421870817574,0.0037547055283038144,-0.05651744232440592,-0.6337178737442272,-0.733218102567455,0.6361221779548473,1.661457357457621,11,,333.37,399.69,400.43,442.79
volume_breakout,stress,3168,162,0.30864197530864196,80.01441880275615,-53.59615784784769,1.4929133358757984,-12.358325548278613,0.6664791678016957,-0.011430286733722372,-0.07914909421107708,-1.3030950800439212,-1.356313847033637,0.6221779548472776,1.3558602701534108,15,,580.31,868.17,650.38,661.46
combined,optimistic,12828,264,0.36363636363636365,147.97227480080156,-69.48296943078975,2.129619329930812,9.591664835243447,1.2169253313890354,0.013670552909636147,-0.08203950497273671,-0.12864747223791764,-0.14901736054997988,0.6440903054448871,3.149111115090878,17,,0.0,202.28,253.21,1600.89
combined,realistic,12828,269,0.31970260223048325,142.149708885038,-71.47727183402304,1.9887399901765,-3.180170191497943,0.9345991210665517,-0.004756872848517446,-0.13284187123643487,-0.5647584125263436,-0.6649495149984037,0.6434262948207171,3.0333374103692883,17,,481.75,729.46,729.69,1730.18
combined,stress,12828,277,0.296028880866426,113.3694045701596,-70.57112780120318,1.6064558992101974,-16.11941785733404,0.6755353012063394,-0.02647004871097025,-0.17053863415986747,-1.0864185804759077,-1.1600774186616951,0.646746347941567,2.798285239041768,21,,992.88,1794.82,1343.97,1380.1
enhanced_ema_pullback,optimistic,801,123,0.36585365853658536,178.39418040580534,-64.54357727799652,2.7639338866738257,24.336090167296856,1.5945772423118225,0.016045609088604973,-0.062409743887618774,-0.10672017222774796,-0.11237963302252117,0.5192563081009296,1.5869288300653657,11,,0.0,102.36,128.34,413.84
enhanced_ema_pullback,realistic,801,122,0.3360655737704918,178.91636248370526,-66.45713337031542,2.6922070424966944,16.00445130193743,1.3627220832390674,0.010626982536153351,-0.06774682544003185,-0.2737754242333833,-0.28193918375615173,0.5192563081009296,1.518642630031904,11,,219.52,366.78,368.08,433.04
enhanced_ema_pullback,stress,801,119,0.29411764705882354,179.32417308458457,-73.3038494143456,2.4463131816034034,0.9985101441632654,1.019297159001418,0.000701564532993082,-0.081735822999913,-0.5900625959670842,-0.5981798820849853,0.5139442231075697,1.4175778146517382,15,,428.22,912.19,685.66,540.56
institutional_momentum_trend,optimistic,739,110,0.36363636363636365,256.43430208462513,-76.36812403946352,3.357870908968665,44.65094000565962,1.918783376553523,0.025699549387590448,-0.0588872021688569,0.15417115722988742,0.17079811011565232,0.5610889774236387,1.4349289721875191,9,,0.0,92.76,116.59,517.28
institutional_momentum_trend,realistic,739,110,0.34545454545454546,246.10358822371128,-76.78494481259766,3.205102104642452,34.75836659994542,1.6915816663390717,0.020294394617518474,-0.064211919266557,0.02189435574776712,0.02408270685330598,0.5604249667994687,1.3989340579051546,9,,198.03,338.32,340.53,438.42
institutional_momentum_trend,stress,739,107,0.32710280373831774,246.74706849681706,-84.75836326699242,2.911182554570496,23.67799291743124,1.4151581862495464,0.013698441535357375,-0.07654498766183404,-0.14888660422732508,-0.16263342651292065,0.5551128818061088,1.312084655467194,15,,385.22,845.07,637.92,535.69
