costs,final_eur,cagr,max_dd,sharpe,sortino,positive_months,n_rebalance_trades,trades_per_year
optimistic,89589.0,0.11600134209707202,-0.3138212606048366,0.5879713044672343,0.6769373742319339,0.5833333333333334,191,19.2
realistic,81442.0,0.10537743023257162,-0.3138212606048365,0.5349697397257567,0.6166215997428239,0.575,191,19.2
stress,66829.0,0.08366489192843685,-0.31382126060483684,0.4247155368415536,0.4910207931753101,0.5583333333333333,191,19.2
