strategy,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss,oos_trades,wf_positive_pct,top_stock_share,top_sector_share,acceptance,failed_gates
ema_pullback,7804,193,0.2694300518134715,234.57077120846986,-77.62628857421907,3.021795522069756,6.48898141904426,1.1144210436001938,0.006926581585146918,-0.08192117465799775,-0.2638104815825083,-0.3048680477976172,0.649402390438247,2.35063669192808,15,,346.3,565.97,567.1,1441.3,59,1.0,1.81,0.84,INSUFFICIENT_SAMPLE,"oos_trades,pf,stress,concentration"
minervini_vcp,2612,138,0.37681159420289856,162.09838090723318,-74.79836454627592,2.167138036914522,14.467075769539122,1.3103625339483156,0.010877177197369026,-0.06703422926219893,-0.20766495836415175,-0.2286780573931851,0.6148738379814077,1.6447682404434287,7,,246.96,395.02,396.38,499.79,44,0.5,0.81,0.84,INSUFFICIENT_SAMPLE,"oos_trades,wf_windows,stress,concentration"
volume_breakout,3168,125,0.376,114.84953095795638,-60.45233628325945,1.8998361026083401,5.461165799437714,1.1447730361870767,0.00381956743836942,-0.053797210253477834,-0.6254765827673664,-0.6988392440644444,0.6434262948207171,1.0291764326692638,17,,223.46,246.13,246.73,229.81,33,1.0,0.72,0.9,INSUFFICIENT_SAMPLE,"oos_trades,pf,concentration"
combined,12828,190,0.3,196.59055857897164,-79.04718593090536,2.487002620824607,3.6441374220577276,1.0658582660676887,0.0038858874740026472,-0.08701769876289522,-0.34876788518705004,-0.4054255739381101,0.650066401062417,2.181170992421282,21,,339.01,521.51,522.33,1571.51,50,0.5,2.94,2.54,INSUFFICIENT_SAMPLE,"oos_trades,pf,wf_windows,stress,concentration"
enhanced_ema_pullback,801,100,0.37,270.5246733619971,-76.08331264086998,3.555637418666735,52.161642180190796,2.088231499851892,0.027207153278508756,-0.06041430455161889,0.18557084669594648,0.20948602224984364,0.5723771580345286,1.241235853737882,13,,179.87,299.78,302.66,242.37,24,0.5,0.31,0.35,INSUFFICIENT_SAMPLE,"oos_trades,wf_windows,concentration"
