strategy,costs,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
ema_pullback,optimistic,7791,188,0.2765957446808511,292.37855276033866,-79.78878942135374,3.6644064270273273,23.151113735284596,1.4010965750398603,0.02294292586055713,-0.07488948025688258,0.08050008915954054,0.09421119111334429,0.649402390438247,2.553235164084344,15,,0.0,164.39,206.07,1760.98
ema_pullback,realistic,7791,186,0.27956989247311825,267.77963245097556,-81.17014057333027,3.2989918529099946,16.38570994959394,1.2802057936665652,0.01638029954822695,-0.08066649670179371,-0.05578447210642759,-0.06525979547800585,0.649402390438247,2.4117029640580934,15,,334.17,581.76,583.8,1516.08
ema_pullback,stress,7791,186,0.26881720430107525,250.59718509017094,-88.94674400054429,2.8173845811448417,2.328505755024337,1.0358031548326625,0.0025181863014074324,-0.1088549174004605,-0.3507923983697704,-0.3998254169217428,0.650066401062417,2.2580490375360007,14,,667.98,1451.39,1091.21,1721.92
minervini_vcp,optimistic,2607,138,0.41304347826086957,159.46472775539985,-70.62756557095666,2.2578256303509723,24.410555585581896,1.5888402583951289,0.017974366318765256,-0.05338510525411355,-0.03364727790997627,-0.03749894126796215,0.6142098273572377,1.6538016092389143,7,,0.0,106.33,133.36,487.51
minervini_vcp,realistic,2607,136,0.3897058823529412,162.02838301250824,-74.34599430815753,2.1793828237862423,17.770490971219576,1.391654092297239,0.013087212828887473,-0.06687671923772576,-0.15394273491564614,-0.16942442164819851,0.6142098273572377,1.6232426427111775,7,,243.58,390.44,392.0,502.78
minervini_vcp,stress,2607,141,0.2765957446808511,178.24420443698097,-73.57821369587198,2.4225133430628683,-3.9252044250828773,0.9262551017593321,-0.0030291094471521784,-0.1158616570518678,-0.5583463029886391,-0.6022863926740363,0.5949535192563081,1.6122852497395508,16,,505.18,1031.88,774.88,633.3
volume_breakout,optimistic,3167,122,0.4426229508196721,135.60143226880248,-57.64976078322005,2.352159496007338,27.887652534888282,1.8678913644764157,0.01814891417262876,-0.03061420343837451,-0.06210622353581505,-0.07561255536339276,0.650730411686587,1.0520852664776652,9,,0.0,67.2,84.44,213.01
volume_breakout,realistic,3167,126,0.35714285714285715,117.15852401880689,-59.65435594679522,1.9639558949106537,3.4931011837769494,1.0910866082836965,0.0024875046341352736,-0.053290300397124346,-0.6755252636337443,-0.7557084749396211,0.6434262948207171,1.0322044098060446,17,,225.15,246.6,247.07,228.19
volume_breakout,stress,3167,112,0.35714285714285715,157.7165892971358,-67.78799629769665,2.3266152993298435,12.749355700457802,1.2925640551832465,0.007906469161120366,-0.05085453729797751,-0.42782122154477426,-0.5109675821827102,0.6394422310756972,0.9480352248579437,14,,400.91,606.25,457.35,344.98
combined,optimistic,12810,181,0.30386740331491713,248.86469647686766,-82.75179492302524,3.0073631237649736,18.015647215063783,1.3127378714847107,0.017427835046803564,-0.080159901529816,-0.03799020290968502,-0.046369268429023135,0.650066401062417,2.235641033053393,21,,0.0,142.96,179.13,1823.74
combined,realistic,12810,182,0.31868131868131866,235.49801134668593,-84.45786807184554,2.788348992498313,17.50609350109306,1.3042277545556624,0.017092748748491537,-0.08576486854873222,-0.04479688852182448,-0.05355041372502739,0.650066401062417,2.2596265174461942,21,,325.07,541.72,543.79,1659.91
combined,stress,12810,191,0.27225130890052357,243.95529912947308,-87.55029250001839,2.7864589844679486,2.7025387289530913,1.0424163107362108,0.0031772486941592515,-0.11060410769191475,-0.3372670042382513,-0.3838555849318264,0.651394422310757,2.2324303049027323,19,,684.43,1429.07,1074.56,1880.2
enhanced_ema_pullback,optimistic,801,101,0.36633663366336633,292.5996274478969,-75.55203441331949,3.872822614506763,59.315406070492486,2.2389755740117225,0.03093994127466293,-0.05585760919311211,0.26682748884481194,0.3063727797241259,0.5743691899070386,1.292691454460721,13,,0.0,83.31,104.9,287.2
enhanced_ema_pullback,realistic,801,102,0.35294117647058826,275.3844666558876,-75.62272164453545,3.6415572022167106,48.26216834384916,1.9863039284818422,0.025779606667542865,-0.060526196788473374,0.15236168704102998,0.17369531569850744,0.5737051792828686,1.2702689872799036,13,,183.27,306.18,308.92,240.88
enhanced_ema_pullback,stress,801,99,0.29292929292929293,321.9130419612454,-77.70833488222986,4.1425806182711,39.35247247595985,1.7162119704265981,0.020698447867300906,-0.07016199579709959,0.032725040617782246,0.03717395741992202,0.5717131474103586,1.18867409896616,13,,355.7,762.77,577.62,319.27
